geo_name|st|White Alone|Black Alone|Total White and Black
Autauga County|AL|42855|9643|52498
Baldwin County|AL|156153|17105|173258
Barbour County|AL|13180|12875|26055
Bibb County|AL|17381|5047|22428
Blount County|AL|53068|761|53829
Bullock County|AL|2507|7666|10173
Butler County|AL|11399|9095|20494
Calhoun County|AL|88840|24382|113222
Chambers County|AL|20112|13257|33369
Cherokee County|AL|24081|1208|25289
Chilton County|AL|36713|4230|40943
Choctaw County|AL|7731|6012|13743
Clarke County|AL|14070|11336|25406
Clay County|AL|11380|2066|13446
Cleburne County|AL|14079|498|14577
Coffee County|AL|37330|8359|45689
Colbert County|AL|43789|8768|52557
Conecuh County|AL|6788|6149|12937
Coosa County|AL|7648|3582|11230
Covington County|AL|32022|4716|36738
Crenshaw County|AL|10097|3254|13351
Cullman County|AL|76133|856|76989
Dale County|AL|37236|9679|46915
Dallas County|AL|12769|30423|43192
DeKalb County|AL|60087|1078|61165
Elmore County|AL|60455|15900|76355
Escambia County|AL|23784|12220|36004
Etowah County|AL|83823|15796|99619
Fayette County|AL|14910|1969|16879
Franklin County|AL|26320|1228|27548
Geneva County|AL|23127|2539|25666
Greene County|AL|1575|7370|8945
Hale County|AL|6266|9301|15567
Henry County|AL|11865|4942|16807
Houston County|AL|71053|26176|97229
Jackson County|AL|48348|1781|50129
Jefferson County|AL|349166|276525|625691
Lamar County|AL|12626|1643|14269
Lauderdale County|AL|80112|9257|89369
Lawrence County|AL|26647|3938|30585
Lee County|AL|100006|31901|131907
Limestone County|AL|66506|10429|76935
Lowndes County|AL|2859|8310|11169
Macon County|AL|3319|17729|21048
Madison County|AL|228280|80376|308656
Marengo County|AL|9751|10872|20623
Marion County|AL|28791|1184|29975
Marshall County|AL|81464|1494|82958
Mobile County|AL|248647|142992|391639
Monroe County|AL|12718|9614|22332
Montgomery County|AL|90656|125477|216133
Morgan County|AL|95404|14185|109589
Perry County|AL|3204|7276|10480
Pickens County|AL|11110|8211|19321
Pike County|AL|19144|12054|31198
Randolph County|AL|17532|4607|22139
Russell County|AL|28449|22135|50584
St. Clair County|AL|73741|7150|80891
Shelby County|AL|161943|20732|182675
Sumter County|AL|3326|10316|13642
Talladega County|AL|53739|26055|79794
Tallapoosa County|AL|29087|11083|40170
Tuscaloosa County|AL|129004|57611|186615
Walker County|AL|61146|3928|65074
Washington County|AL|11508|4380|15888
Wilcox County|AL|3126|8465|11591
Winston County|AL|23409|115|23524
Aleutians East Borough|AK|660|219|879
Aleutians West Census Area|AK|2004|332|2336
Anchorage Municipality|AK|192498|16226|208724
Bethel Census Area|AK|1894|65|1959
Bristol Bay Borough|AK|481|0|481
Denali Borough|AK|1637|10|1647
Dillingham Census Area|AK|878|11|889
Fairbanks North Star Borough|AK|75175|4423|79598
Desha County|AR|6230|6216|12446
Haines Borough|AK|2086|10|2096
Hoonah-Angoon Census Area|AK|1014|8|1022
Juneau City and Borough|AK|21814|279|22093
Kenai Peninsula Borough|AK|46857|269|47126
Ketchikan Gateway Borough|AK|9176|78|9254
